"","Localidad","year","empresas","telefonos","bancos","ind_turismo"
"158","BARCELONA",1977,150,3.82560424004876,169,267.7
"159","BARCELONA",1979,-6,13.039299434668,135,-597.8
"160","BARCELONA",1981,-302,5.5642793802794,49,-326
"161","BARCELONA",1983,738,-4.62953868059523,117,-126.7
"162","BARCELONA",1985,434,1.45871131786625,27,-42.6999999999998
"163","BARCELONA",1987,973,-5.13343587428068,20,290.2
"164","BARCELONA",1989,-142,-6.51525553731233,59,989.5
"165","BARCELONA",1991,-153,1.81107762690043,1,-15
"167","BENIDORM",1965,0,80.9121621621622,2,13.3
"168","BENIDORM",1967,0,27.8478057889823,2,32.3999999999999
"169","BENIDORM",1969,4,51.1593938287384,0,343.6
"170","BENIDORM",1971,-3,85.3122357772678,1,1198.4
"171","BENIDORM",1973,-1,33.3463694433581,7,92.3000000000002
"172","BENIDORM",1975,4,16.076840355851,5,269.9
"173","BENIDORM",1977,1,-0.918010696087927,4,-201.4
"174","BENIDORM",1979,1,13.0647286327511,1,64
"175","BENIDORM",1981,-6,10.487538999361,1,56.5999999999999
"176","BENIDORM",1983,34,6.98125404007757,3,190.5
"177","BENIDORM",1985,10,13.6524089680394,3,24.3000000000002
"178","BENIDORM",1987,30,-1.03251441043147,2,-324.1
"179","BENIDORM",1989,-36,-3.43803896067177,2,-96.6999999999998
"180","BENIDORM",1991,-6,-1.25611220097795,3,-164
"182","BENISSA",1965,1,26.9230769230769,0,1.8
"183","BENISSA",1967,-1,39.3939393939394,1,4.8
"184","BENISSA",1969,1,70,0,3.3
"185","BENISSA",1971,1,60.8695652173913,0,-3.1
"186","BENISSA",1973,-2,30.0476947535771,0,-1
"187","BENISSA",1975,1,42.1760391198044,2,-1.5
"188","BENISSA",1977,-1,16.3370593293207,0,0.600000000000001
"189","BENISSA",1979,5,9.90391722099039,0,-0.2
"190","BENISSA",1981,-5,22.7303295225286,0,0
"191","BENISSA",1983,3,4.93150684931507,0,0.7
"192","BENISSA",1985,0,25.2741514360313,1,-2.1
"193","BENISSA",1987,4,75.1146310962901,0,1.1
"194","BENISSA",1989,2,-3.6895977148298,0,-1.4
"195","BENISSA",1991,-3,-5.65991102323282,0,1
"197","BERGA",1965,0,21.1187214611872,0,18.4
"198","BERGA",1967,0,9.70782280867106,0,-19.1
"199","BERGA",1969,0,9.27835051546392,0,6
"200","BERGA",1971,1,20.440251572327,0,-8
"201","BERGA",1973,0,26.0443864229765,1,-10.9
"202","BERGA",1975,-1,19.7307094769549,0,-0.199999999999999
"203","BERGA",1977,3,28.8062283737024,2,3.2
"204","BERGA",1979,-1,26.4607118871726,1,0.199999999999999
"205","BERGA",1981,-1,27.1640998406798,0,0
"206","BERGA",1983,2,14.5333054917519,2,-2.2
"207","BERGA",1985,2,6.58158614402917,0,-5.3
"208","BERGA",1987,11,2.27505986999658,0,8
"209","BERGA",1989,0,6.52282990466633,0,0.699999999999999
"210","BERGA",1991,6,0.188412623645784,0,0
"212","BILBAO",1965,12,17.4652188279799,-24,190.7
"213","BILBAO",1967,-7,-3.26216643547933,8,-57
"214","BILBAO",1969,1,15.966428686026,5,-48.5
"215","BILBAO",1971,5,18.1174395379201,2,-192.5
"216","BILBAO",1973,-17,74.8440748440748,22,71.3000000000001
"217","BILBAO",1975,31,-16.1528026661754,24,206.9
"218","BILBAO",1977,13,10.9675228698118,45,50.6
"219","BILBAO",1979,33,10.5373760282233,17,-96.3000000000001
"220","BILBAO",1981,-58,-7.69484418571516,-5,-22.8
"221","BILBAO",1983,94,0.841922352619485,10,-84.1
"222","BILBAO",1985,116,5.59059181638472,0,-34.5
"223","BILBAO",1987,67,-4.84188290844327,-1,-10.4
"224","BILBAO",1989,114,-0.539293564604235,-9,-20.6
"225","BILBAO",1991,-41,-12.5313996131393,3,-16
"227","CALDES DE MONTBUI",1965,0,11.3960113960114,0,-40.2
"228","CALDES DE MONTBUI",1967,2,18.4143222506394,0,-15.3
"229","CALDES DE MONTBUI",1969,-2,11.9870410367171,0,37.6
"230","CALDES DE MONTBUI",1971,2,28.2545805207329,1,-16.9
"231","CALDES DE MONTBUI",1973,-2,14.2105263157895,0,-9.8
"232","CALDES DE MONTBUI",1975,3,41.0796576695194,2,-0.5
"233","CALDES DE MONTBUI",1977,2,6.71955202986468,0,9.8
"234","CALDES DE MONTBUI",1979,0,38.5658067337123,1,5.6
"235","CALDES DE MONTBUI",1981,-1,14.5156200694225,1,-9.5
"236","CALDES DE MONTBUI",1983,-2,12.372554422706,0,-2
"237","CALDES DE MONTBUI",1985,17,8.36194212849436,0,-3.40000000000001
"238","CALDES DE MONTBUI",1987,0,-1.62932790224033,0,-2.4
"239","CALDES DE MONTBUI",1989,-6,11.8242466068553,0,0.100000000000001
"240","CALDES DE MONTBUI",1991,11,8.29047521086196,0,6
"242","CALELLA",1965,0,35.3188507358094,0,183.9
"243","CALELLA",1967,1,17.711030554117,1,-75.7
"244","CALELLA",1969,-1,16.6739991201056,0,163.6
"245","CALELLA",1971,1,19.079939668175,0,6.89999999999998
"246","CALELLA",1973,-2,24.3825205826472,1,-42.1999999999999
"247","CALELLA",1975,1,28.8441955193483,2,-148.7
"248","CALELLA",1977,0,6.08575380359613,6,-15.9
"249","CALELLA",1979,1,14.0994598621717,0,107.4
"250","CALELLA",1981,0,14.2507345739471,1,-109.4
"251","CALELLA",1983,4,-6.25803686240892,0,13.3
"252","CALELLA",1985,0,6.99588477366255,0,12.1
"253","CALELLA",1987,16,1.32478632478632,-1,-3.10000000000002
"254","CALELLA",1989,-5,0.39364543793055,0,-28.8
"255","CALELLA",1991,-7,-2.10054614199692,0,5
"257","CANET DE MAR",1965,0,39.2660550458716,1,25.8
"258","CANET DE MAR",1967,0,19.7628458498024,0,14.1
"259","CANET DE MAR",1969,0,17.4917491749175,0,3.5
"260","CANET DE MAR",1971,0,30.0561797752809,0,-11.5
"261","CANET DE MAR",1973,0,29.2296616270698,0,-14.2
"262","CANET DE MAR",1975,0,20.9470752089136,0,5.8
"263","CANET DE MAR",1977,0,5.57346844771994,1,0.600000000000001
"264","CANET DE MAR",1979,1,22.7748691099476,1,1.9
"265","CANET DE MAR",1981,-1,14.7832267235252,1,-12.9
"266","CANET DE MAR",1983,1,9.5046439628483,0,1.1
"267","CANET DE MAR",1985,5,7.52049759683347,0,1.40000000000001
"268","CANET DE MAR",1987,5,-0.0788850907178543,0,1.8
"269","CANET DE MAR",1989,-5,5.86842105263158,0,6.5
"270","CANET DE MAR",1991,1,2.48570718369376,0,-8
"272","CASTELLDEFELS",1965,-1,48.8059701492537,0,-191.9
"273","CASTELLDEFELS",1967,2,22.2668004012036,1,10.4
"274","CASTELLDEFELS",1969,0,28.50697292863,1,-167.7
"275","CASTELLDEFELS",1971,-1,29.3329077561443,0,-69
"276","CASTELLDEFELS",1973,-1,36.4758144126357,1,-45.3
"277","CASTELLDEFELS",1975,2,28.1916817359855,3,21.6
"278","CASTELLDEFELS",1977,3,-18.0984624065454,0,-7.5
"279","CASTELLDEFELS",1979,5,120.874956941095,0,-2.09999999999999
"280","CASTELLDEFELS",1981,-7,14.9095446038677,1,-2
"281","CASTELLDEFELS",1983,8,6.25678610206297,1,-38.9
"282","CASTELLDEFELS",1985,3,6.11189168476178,1,11.7
"283","CASTELLDEFELS",1987,17,-19.1573879024977,0,-18.9
"284","CASTELLDEFELS",1989,4,33.4425253126861,0,-0.199999999999989
"285","CASTELLDEFELS",1991,0,3.8663244811426,-1,22
