;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
279.;SIGNET ARMORLITE IBERICA SAU (EXTINGUIDA);A28151967;MADRID;ESPANA;U1;31/12/2015;4.502
280.;IBERICA MARITIMA ZONA SUR SL;B08193054;ALGECIRAS;ESPANA;U1;31/12/2021;4.482
281.;PRODUCTORA DE ESMALTES Y COLORANTES SL;B46032793;MANISES;ESPANA;U1;31/12/2021;4.394
282.;EL RODAMIENTO SA;A33008350;SIERO;ESPANA;U1;31/12/2021;4.295
283.;ELECTRO TRANSFORMACION INDUSTRIAL, SA (EXTINGUIDA);A28146199;GETAFE;ESPANA;U1;31/12/2017;4.218
284.;TALLERES DAGA SA  (EXTINGUIDA);A50013671;SAN MATEO DE GALLEGO;ESPANA;U1;31/12/2011;4.197
285.;COMPAÑIA DE REFRIGERACION INDUSTRIAL SA (EXTINGUIDA);A25006669;ALCOLETGE;ESPANA;U1;31/12/2017;4.194
286.;LA RONDA ESTACION DE SERVICIO SA;A41015017;SEVILLA;ESPANA;U1;31/12/2021;4.180
287.;IBERVALLES SOCIMI SA.;A08186611;ALCOBENDAS;ESPANA;U1;31/12/2021;4.170
288.;URBANIZADORA CONSTRUCTORA LEVANTINA SA;A28159119;MADRID;ESPANA;U1;31/12/2021;4.129
289.;VITICULTORS DE SOLIVELLA COVISO S.C.C.L.;F43013655;SOLIVELLA;ESPANA;U1;31/12/2012;4.122
290.;MUTUALIDAD DE PREVISION SOCIAL DE VIAJANTES Y REPRESENTANTES DE COMERCIO DE ESPAÑA A PRIMA FIJA;G28736726;MADRID;ESPANA;U1;31/12/2020;4.099
291.;ESTRUCTURAS BURTON SA (EXTINGUIDA);A28150985;COSLADA;ESPANA;U1;31/12/2006;4.072
292.;MOLDEADOS DE ELASTOMEROS SINTETICOS SAU;A08195604;VILASSAR DE DALT;ESPANA;U1;31/12/2020;4.060
293.;KINGSPAN PRAX SA. (EXTINGUIDA);A09003690;BURGOS;ESPANA;U1;31/12/2018;4.026
294.;CONSTRUCCIONES Y ESTRUCTURAS METALICAS SA (EN LIQUIDACION);A25007204;SOSES;ESPANA;U1;31/12/2011;4.015
295.;ONDULESA S. L. (EXTINGUIDA);B25007188;FONDARELLA;ESPANA;U1;31/12/2005;3.997
296.;COMPAÑIA DE AUTOMOVILES Y MAQUINARIA AGRICOLA SA;A14010540;LUCENA;ESPANA;U1;31/12/2021;3.983
297.;NTRA SEÑORA DEL PILAR S.C. DE C-LM;F45004199;QUERO;ESPANA;U1;31/12/2017;3.975
298.;ZATIBER FUSION SOCIEDAD LIMITADA.;B50012848;ZARAGOZA;ESPANA;U1;31/12/2021;3.952
299.;ANDALUZA SANTA EULALIA S.C.;F23014731;UBEDA;ESPANA;U1;31/12/2017;3.930
300.;MORILLO ZAMORANO SL;B11603834;JEREZ DE LA FRONTERA;ESPANA;U1;31/12/2021;3.911
301.;COISBA SAT;V38005179;BUENAVISTA DEL NORTE;ESPANA;U1;31/12/2012;3.849
302.;METALARTE SA (EXTINGUIDA);A08185126;SANT JOAN DESPI;ESPANA;U1;31/12/2011;3.840
303.;FABBRI ARTES GRAFICAS VALENCIA SA (EXTINGUIDA);A46030300;QUART DE POBLET;ESPANA;U1;31/12/2001;3.791
304.;TERMOTECNICA SA;A28161016;MADRID;ESPANA;U1;31/12/2005;3.787
305.;ELECTRO-STOCKS MADRID S.L. (EXTINGUIDA);B28169605;ALCOBENDAS;ESPANA;U1;31/07/2007;3.781
306.;ENSEÑANZA Y CULTURA, SA;A40001851;MADRID;ESPANA;U1;31/08/2021;3.760
307.;MANILE SA;A28168599;MADRID;ESPANA;U1;31/12/2021;3.683
