"","region","year","PIB_real","Popul_FEDEA","Ocup_agreg_FEDEA","Ocup_AyP_FEDEA","Ocup_r_FEDEA","Ocup_MyEyA_FEDEA","Ocup_m_FEDEA","Ocup_c_FEDEA","Ocup_SPySyEP_FEDEA","Ocup_FyS_FEDEA","Ocup_CyHyTyC_FEDEA","P16_FEDEA","Inv_Infraestructura","Inversión_total","Inv_no_infra","Creacion"
"49","AND","2003",131090029.353257,7544159.927485,2715.94796519464,256.638928464087,419.315956423999,31.4580047930226,261.627511548543,346.960900665499,553.983343979935,47.1132888228675,798.850030496691,6168.140009828,2059079.10904032,5477923.09317587,3418843.98413555,NA
"50","AND","2004",135900124.367531,7648983.568321,2827.54142263225,245.126781549678,451.89220831748,34.4611802222113,262.547423460364,380.980117474974,567.381235555099,47.0523040735126,838.10017197893,6266.717411922,1968882.53405021,6011351.02853252,4042468.49448231,NA
"51","AND","2005",141093518.122386,7803424.537702,2979.3952074274,247.98988858151,487.228652093763,37.0081839689718,266.224340757826,425.169537789543,594.587716497259,48.788602490159,872.398285248368,6410.459531744,2452257.5031182,5629088.47238708,3176830.96926888,NA
"52","AND","2006",147004353.677127,7923886.160977,3127.95979778249,239.475608653026,535.939795454089,38.2608374088977,265.344545024513,458.626855970041,624.11428914897,50.5468022580896,915.651063864861,6516.166471697,2445481.40994039,6870935.55920087,4425454.14926048,NA
"53","AND","2007",152514556.834452,8052761.60994,3239.60184440678,236.82375178321,566.780764405618,38.945995159614,262.50670017771,483.246705764352,638.688529361883,52.6320514396493,959.977346314741,6628.53537247,2897539.03420329,8134207.03151491,5236667.99731163,NA
"54","AND","2008",153793871.6871,8168646.691936,3205.2006311371,229.768544333229,585.571900243015,40.5437940407332,258.820321580088,414.33998093511,651.583946509295,54.0717703062123,970.500373189413,6726.128534049,3174608.46066093,11158658.7021436,7984050.24148267,NA
"55","AND","2009",148433479.702915,8244507.230624,2993.81555847433,224.637922741979,569.726789408411,40.2964806656287,221.723746122171,295.237086934543,665.492365953086,53.0457418115819,923.655424836927,6790.717899857,3499143.97582428,8694982.81585434,5195838.84003006,NA
"56","AND","2010",146124642,8302917.383686,2930.46598179574,232.091543338781,551.753048073673,42.0273461284751,208.852078145425,256.571713577303,684.726702199855,52.3966197413808,902.046930590846,6842.519531474,2193302.57227202,8196154.716436,6002852.14416398,NA
"57","AND","2011",145202763.045759,8352751.535304,2839.23238664124,218.175305271161,529.686700370704,42.0176256686261,199.537506482523,215.79815130374,686.538618984396,50.0891919628409,897.389286597251,6883.118452546,1342352.54750269,5756644.66789493,4414292.12039224,NA
"58","AND","2012",140570710.849324,8383135.408223,2697.59843536772,202.235068144114,520.445497222998,40.6516903523388,181.740664355347,168.48886363236,676.005228802122,48.9733643232074,859.058058535232,6907.789655022,1483240.42084583,4821457.12193459,3338216.70108876,NA
"59","AND","2013",137867418.037505,8387264.485762,2636.4900923231,205.099453140977,516.810108527114,39.4973548482341,172.20559626891,144.448521250159,671.644327812439,47.6604471843888,839.124283290881,6913.634773975,1246505.87143384,4123433.18706002,2876927.31562618,NA
"60","AND","2014",139303958.792193,8390851.39092,2689.80169840672,215.26548355898,534.812089779095,38.7733389870499,170.374442243269,144.029418650516,679.216416003056,47.4651038070275,859.865405377722,6922.214126248,1178579.70750034,3742957.92362665,2564378.2161263,NA
"61","ARA","1955",4527567.93450374,1090254.88080389,458.269760605396,233.911013277762,29.4965245843529,9.17788011543338,63.5956625567815,28.4001689081426,27.2444404099697,3.33397522891957,63.1100955240342,817.094982229593,NA,NA,NA,NA
"62","ARA","1956",4761808.61094456,1090607.8979533,464.358136613345,231.575053854797,29.8163179950572,9.43193090560588,65.4861962646163,30.8292642009108,28.2191781400769,3.54540094410654,65.4547943081739,816.84231988302,NA,NA,NA,NA
"63","ARA","1957",4918644.93799585,1091734.50846477,470.694135384024,229.214430115578,30.151578350259,9.69512667119099,67.4312013625125,33.3276264896397,29.229428013579,3.76397244703391,67.8807719342313,817.168360924414,NA,NA,NA,NA
"64","ARA","1958",5174583.69447533,1093356.24353759,477.711518231889,229.283933371733,30.322626180335,9.83217718832679,69.0990843010328,34.1355569151331,30.1860526689133,3.9240791265965,70.9280084798189,817.863701572915,NA,NA,NA,NA
"65","ARA","1959",5642802.52835917,1095192.05533845,470.518233944477,222.529606174139,29.5930184557053,9.67718088777293,68.7022736640774,33.9266360785287,30.2488900804711,3.96812246120751,71.8725061425759,818.717538342964,NA,NA,NA,NA
"66","ARA","1960",5688276.54795788,1097629.88911953,462.192526644388,211.966666148827,28.9324564266181,9.60978598073966,69.0165184634973,35.0802518349649,30.398167631994,4.03182393915185,73.1568562185952,820.019393515844,NA,NA,NA,30
"67","ARA","1961",5817999.76912708,1100709,461.249902587363,204.920236543442,28.7384037898958,9.69446130130388,70.3890562524331,36.7560830303418,31.0248124537057,4.15816374983184,75.5686854664087,822.027917066173,NA,NA,NA,23
"68","ARA","1962",6311629.47056479,1104272,461.831960240975,196.65702549504,28.7933291644799,9.84814686181159,73.6222710898316,38.5869023413188,32.4226456365231,4.46404013018604,77.4375995217839,824.626999635169,NA,NA,NA,31
"69","ARA","1963",6832886.76097749,1108318,460.803028601028,187.716365437879,28.75008088516,9.96822590231203,76.5739782387989,40.2780798527001,33.7154753890854,4.7558570256602,79.0449658694328,827.58634164254,NA,NA,NA,30
"70","ARA","1964",7413201.45212846,1113594,459.933394284836,179.720001850232,28.7555305050315,10.0033565048098,80.1872029266069,40.8797581328579,34.4946651976917,4.90699660085181,80.985882566755,831.463608605712,189306.033946064,297679.957040068,108373.923094004,45
"71","ARA","1965",7632274.69498493,1119847,458.859650782332,171.676952735852,28.7509993742077,10.0347364645254,83.7215977742773,41.4582015630404,35.2641400448364,5.05683370527479,82.8961891203186,836.069705952447,258146.561253534,373116.295412894,114969.73415936,59
"72","ARA","1966",8238894.01682767,1126747,458.521644097762,166.985809765437,28.6395766946848,9.65963743251516,84.9557280410055,41.9785018848499,35.9572515898655,5.2425229724395,85.1026157169648,841.158112435471,279819.995669021,414443.836379144,134623.840710123,51
"73","ARA","1967",8781727.6163312,1134513,459.660378902632,162.821073637632,28.6227671043469,9.31480586654124,86.4432629207523,42.6317008195229,36.7768499441509,5.44731222509741,87.6026063845882,846.892198683284,284742.95893297,410815.267504547,126072.308571577,51
"74","ARA","1968",9335779.21802499,1141743,457.550758832685,159.011911486368,28.612999327223,9.19596535371311,87.2197814277341,41.1092031326602,37.5069914911828,5.80424372058642,89.0896628932172,852.225331619992,313558.432772761,409720.603136676,96162.1703639145,36
"75","ARA","1969",10111038.4945762,1146619,455.510312245059,155.247921719286,28.6097556889329,9.07970538882021,87.9723510445952,39.6041029559535,38.2462420148805,6.16186695984107,90.5883664727494,855.800702707023,293447.376846614,397336.663476413,103889.286629799,45
"76","ARA","1970",10707339.9072001,1150736,453.771816883974,152.644600071423,28.5657070796349,9.16812155997317,87.5602537221517,37.3229926306993,39.4351634699071,6.53177512574427,92.543203224441,858.809076341803,275944.133415423,517747.46829937,241803.334883947,52
"77","ARA","1971",10814351.2989689,1155135.285308,451.426246369271,149.84219728849,28.4854970028678,9.24401470882262,87.0065620359643,35.0119366202324,40.5739427092957,6.89299236279345,94.3691036408048,862.849478934001,192278.772632453,430064.698136014,237785.92550356,40
"78","ARA","1972",11291828.5853084,1160276.429831,447.368833276665,139.634540490124,28.4824784295648,9.25949474575028,88.6077473382321,34.6952936366561,43.3388852158979,7.89888161307068,95.4515118073695,868.158126229001,191454.692923811,420043.729075487,228589.036151676,74
"79","ARA","1973",11844689.2709907,1165060.192514,452.337506245734,132.231736617745,29.0574273844638,9.4626883602006,91.9482741638499,35.0730264038891,47.0130518841969,9.07481595216533,98.4764854792227,873.141791243,179499.222068076,323337.996443188,143838.774375112,116
"80","ARA","1974",12221295.3666709,1170251.210145,450.5527866602,123.951271553074,29.1673925028932,9.49265952233672,92.9925639678925,36.4514829051327,49.9898628451431,9.45548464296781,99.0520687207594,879.179658852,209709.011683478,379014.215698184,169305.204014706,84
"81","ARA","1975",12937806.4209063,1175139.917698,438.618608366184,113.120704769667,28.6170899452916,9.30753194528685,91.8487972543019,36.9511185553506,51.7779646117835,9.61560899170754,97.3797922927949,884.653166801,194207.211617365,357630.709362179,163423.497744814,94
"82","ARA","1976",13251656.3807481,1179680.643883,434.79814341036,105.399607259541,28.5121045874299,9.32209299237392,90.6417692007901,38.0175517084722,55.24666377873,9.81779256999297,97.8405613130302,890.423538315,191287.171999781,358086.411016999,166799.239017217,109
"83","ARA","1977",13169484.8927043,1184844.478168,432.17660759352,98.0752769002784,28.4854935676838,9.36125300747462,89.6465981444083,39.1508953186786,58.8492731116093,10.0468555357187,98.5609620076685,896.494328845,272423.807261436,465813.807052137,193389.999790702,161
"84","ARA","1978",13994679.4544574,1189232.538165,426.163294116733,93.1808741446456,28.1215644134602,9.3389426444676,87.9454890759368,37.9685460538076,61.8938541756701,10.2352349887036,97.4787886200419,902.727648179,223123.256490036,444373.826588009,221250.570097973,153
"85","ARA","1979",15127385.6121559,1192589.904288,422.571278087543,88.8888682544653,27.918541566878,9.36777811555059,86.7066955762327,37.0088973766571,65.2501441635302,10.4795289720164,96.950824062213,909.064745931,229726.449241129,398583.128609915,168856.679368786,266
"86","ARA","1980",15730954.5613998,1195742.025656,415.183534633654,83.6292165806724,27.624952670374,9.07775921401498,87.7829295909063,33.1934318467958,66.6669801457999,10.6167505667227,96.5915140183679,916.249917395,251868.139088106,463134.759258732,211266.620170626,282
"87","ARA","1981",15661682.977464,1198189.416444,405.74103041277,78.1052480792643,27.192041973202,8.74826217640484,88.2275714633135,29.3513536423924,67.6990829672688,10.6954464301692,95.7220236807553,923.092500418,293314.300494169,431730.364463038,138416.063968869,272
"88","ARA","1982",15947105.3709892,1200955.126904,404.305004149087,74.620091101566,27.5295282395798,8.69080535606206,87.6061103595703,28.5385250813935,68.8272731712156,10.9294536999836,97.5632171397159,931.353,342560.028957424,493566.046824484,151006.01786706,385
"89","ARA","1983",16358359.4002712,1201767.652913,404.897767256786,71.5130557176017,28.0100678196444,8.67735197832147,87.3596629924178,27.8652904022678,70.3345314894627,11.2244855367147,99.913321320355,938.04,340383.752431992,470568.437860748,130184.685428757,426
"90","ARA","1984",16498267.7541819,1202082.220806,396.79312362178,67.9079003876776,27.7261076470107,8.37592904956813,84.3824891364591,26.7307825171685,70.6605711507967,11.0486362416636,99.9607074914356,943.971,266421.028263369,488184.205027575,221763.176764206,496
"91","ARA","1985",17010988.2664722,1201839.079459,393.614146575592,65.1967487197734,27.7830077066567,8.18177617826412,82.4316143224688,25.9375624278823,71.8576123904383,11.0126965603076,101.213128269801,949.239,351650.328594747,663755.91771119,312105.589116443,747
"92","ARA","1986",17577003.4282025,1200082.817773,403.057682198377,62.5552556376272,28.8724474882356,8.15261902329561,83.4100469029004,26.767726768685,75.9949842650172,11.3403062446653,105.96429586795,954.043,351004.895477666,696897.116329794,345892.220852128,744
"93","ARA","1987",18666230.0944923,1199152.186828,422.751372326533,61.2129234044605,30.7313494166029,8.3133434914311,86.3576053992516,28.274086046807,82.297166662723,11.9655114415729,113.599386463684,959.929,401729.301440891,700748.857768292,299019.556327401,903
"94","ARA","1988",19742729.9031996,1197297.625156,440.57327477458,59.8994543495669,32.5565041009246,8.15719169514611,89.8529431677499,31.2848601254417,88.3160074037091,12.4579755747761,118.048338357266,965.5,407726.702628071,747658.658614824,339931.955986753,1256
"95","ARA","1989",20759075.7728028,1194512.306592,459.701428363108,58.4500440496939,34.5359280410199,7.9802902481044,93.4923422182647,34.5033086313011,94.9039003039243,12.992575358941,122.843039511858,970.505,563080.081121899,886448.305449451,323368.224327552,1328
"96","ARA","1990",21531273.9323781,1191406.675358,477.625887519961,55.9564832065945,37.1872862662408,7.75619832151176,98.083661370517,37.8954987209957,100.196471766706,13.2058680509623,127.344419816433,975.476,606359.656347104,998242.72826539,391883.071918287,1282
"97","ARA","1991",21910603.5029733,1189606.21875,490.312769832752,55.5480308606985,39.4231085457748,7.13452912097713,99.3314096037628,41.7182011677522,103.501103915631,13.49786273537,130.158523882786,981.641,598367.960606402,1093206.8628885,494838.902282099,1131
"98","ARA","1992",22185823.9571145,1191759.705508,478.875760832733,54.8934380664632,39.4316899120235,6.62040083393,94.9034707199178,40.4149708359703,103.208113185919,13.0556896356129,126.347987642897,990.449,445260.437190046,947877.681980973,502617.244790928,1203
"99","ARA","1993",21844911.790046,1193826.324663,464.631504936262,53.2866023532201,39.7432891242625,6.06709956618381,89.6926964793279,37.167232896909,102.062112197026,12.8819862214793,123.730486097853,999.082,429548.737906233,824755.521827975,395206.783921741,1411
"100","ARA","1994",22150651.197815,1195741.56485,459.140862117959,52.828476987477,40.7673311080689,6.07436283883828,88.1389784454702,32.0983067948086,101.961987006323,12.7264204793154,124.544998457658,1007.074,537439.507578572,977995.149206666,440555.641628094,2014
"101","ARA","1995",22899959.1005473,1196678.221751,460.530644797455,48.5523030439648,41.8775884070474,6.40594982258987,92.5388217066161,34.1946137210246,98.8203888187342,12.4870764362205,125.653902841257,1014.048,542903.337590079,905084.197660113,362180.860070034,2047
"102","ARA","1996",23618813.6463281,1197662.090497,476.298822472533,50.0116372371382,45.4749013393797,7.03042617115093,99.6317667300352,37.853275719556,99.4397000102167,11.9427595876308,124.914355677425,1020.27,668889.453212478,1067911.7006913,399022.247478822,1767
"103","ARA","1997",24563573.2847454,1198430.521803,492.246192079955,51.1523063111608,49.5924943198968,6.73748154238563,105.338168558021,41.5885635178135,100.188519435549,12.0929694613593,125.555688933769,1025.451,514243.198480743,946748.527631891,432505.329151148,2285
"104","ARA","1998",25098767.389715,1199216.879651,500.95953057816,46.1421681509334,55.5527915007851,6.2236497367856,108.755556768045,43.474908354403,98.2111619541059,12.220036315563,130.379257797539,1029.931,591444.690336694,1000605.18285018,409160.492513485,2271
"105","ARA","1999",25724097.2376976,1199517.245167,505.187379698093,41.8976325937949,59.8472227895931,6.13767737745345,108.689094556009,47.9040971073287,97.500873793862,12.3564590875363,130.854322392516,1033.101,528025.266496537,972752.034565323,444726.768068786,2139
"106","ARA","2000",27010731.6075516,1200765.412818,530.341765450457,43.3587836406692,65.773617304569,6.15502170893347,114.927752681032,55.9096452939803,98.9484602004128,10.7075015913993,134.560983029461,1036.157,685840.955750845,1282756.2347491,596915.278998259,2160
"107","ARA","2001",27825799.4365895,1203180.453203,543.900411912639,44.1800012141861,72.6263552184031,5.6742479757452,113.14254475451,57.8790591563033,100.635215419934,11.1199199751921,138.643068198365,1039.622,585598.243107589,1314258.75473069,728660.511623101,2255
"108","ARA","2002",28937323.7917891,1217557.490674,562.004282487087,45.4832392001957,78.1491464448369,5.8872454777785,114.521038889767,60.3471987082985,103.488391987433,11.1574449097507,142.970576869027,1052.264143452,832374.919246749,1533623.91909371,701248.999846964,3194
"109","ARA","2003",29923781.4830415,1231371.041307,573.452830887332,45.8640516190173,81.3920347500659,6.18213739792897,114.213018847659,62.0608431858826,105.963624400362,10.4718881407004,147.305232545716,1063.445920002,908579.554635802,1808661.28619772,900081.731561916,NA
"110","ARA","2004",30849748.0312047,1244499.490232,590.830309923946,47.3875272170215,85.3080714621913,6.46709064368858,115.646779332514,61.5081415456858,109.671651594734,10.7577683510562,154.083279777055,1074.043351476,851968.769737173,2143568.78089755,1291600.01116038,NA
"111","ARA","2005",31998492.1977478,1263819.006141,610.804598286067,45.5398284297187,91.5928720597848,6.36596666053533,116.983189347615,68.1263347458118,113.293060843502,11.0541258132287,157.84922038587,1090.15918352,806530.850886007,1705001.86949282,898471.01860681,NA
"112","ARA","2006",33394886.3310244,1282960.34003,630.824463041828,42.9237895118923,99.5019308195526,6.38352628208265,116.378513380598,72.0193029970032,117.405243968157,11.1897901518549,165.022365930687,1104.755401669,719558.389224576,1846311.53860046,1126753.14937588,NA
"113","ARA","2007",35030961.6967321,1309383.358199,655.404474119292,43.0972209746251,103.717607921906,6.63912340695176,115.219796451024,79.1133940643022,120.297815089378,11.6970438183896,175.622472392715,1125.492493128,826163.660444129,2068751.3705865,1242587.71014237,NA
"114","ARA","2008",35459741.1909744,1336382.816941,658.314749778101,40.471178698617,109.560134392254,6.59606109367459,115.73931594152,69.9024791329803,121.255049538121,12.3243069416148,182.466224039319,1146.174614536,915056.002616133,2048942.11370301,1133886.11108688,NA
"115","ARA","2009",34196634.9415466,1344482.539882,615.983827546957,39.7028903267296,103.641285303596,6.68573120875266,103.214411869169,56.842609450493,123.445747805905,11.9192435149156,170.531908067397,1149.967170716,852528.357181282,2988653.22396764,2136124.86678636,NA
"116","ARA","2010",34406424,1343834.842494,604.878762610711,40.1337275941813,100.207343997283,7.86893270191648,95.9870853813222,51.8363518888435,126.467538564032,11.7341887986199,170.643593684513,1147.084825571,565666.236217313,1784278.33828378,1218612.10206647,NA
