"","regions","year","empleoservs","empleoturs","realpibturismo","realpibservicios","Pobl_total","poblalq"
"1","A Coruña","1955",89998,21162,NA,NA,NA,204
"2","A Coruña","1957",94402,23399,NA,NA,NA,218
"3","A Coruña","1959",101870,25716,NA,NA,NA,234
"4","A Coruña","1961",106507,27159,NA,NA,NA,256
"5","A Coruña","1963",111752,28090,NA,NA,NA,270
"6","A Coruña","1965",116996,29599,NA,NA,NA,276
"7","A Coruña","1967",122299,30957,NA,NA,NA,236
"8","A Coruña","1969",128185,33372,77843.3628318584,NA,"1034877",221
"9","A Coruña","1971",136359,36788,90964.7524752475,NA,"1030721",158
"10","A Coruña","1973",141735,37959,109733.220910624,NA,"1043292",154
"11","A Coruña","1975",149159,38033,118813.449564134,NA,"1056671",151
"12","A Coruña","1977",159397,38280,131847.584973166,NA,"1070168",147
"13","A Coruña","1979",162332,37652,NA,NA,"1082880",143
"14","A Coruña","1981",164835,34375,NA,127847.069681587,"1092175",141
"15","A Coruña","1983",169811,33635,NA,129462.406815761,"1100812",139
"16","A Coruña","1985",176976,34831,NA,131024.044032445,"1105233",137
"17","A Coruña","1987",185099,35759,NA,145319.879969993,"1104798",124
"18","A Coruña","1989",190364,36777,NA,163619.392575928,"1103018",118
"19","A Coruña","1991",198271,38738,NA,172163.018569735,"1097942",105
"20","A Coruña","1993",202077,38484,NA,172234.407836153,"1098871",78
"21","A Coruña","1995",380506,NA,NA,183428.571428571,"1099299",NA
"22","A Coruña","1997",394546,NA,NA,193218.795620438,"1097601",NA
"23","Álava","1955",16913,2802,NA,NA,NA,86
"24","Álava","1957",17760,3016,NA,NA,NA,90
"25","Álava","1959",18559,3297,NA,NA,NA,93
"26","Álava","1961",20038,3724,NA,NA,NA,95
"27","Álava","1963",21380,3827,NA,NA,NA,110
"28","Álava","1965",22552,4006,NA,NA,NA,113
"29","Álava","1967",23456,4139,NA,NA,NA,99
"30","Álava","1969",24814,4411,29361.5044247788,NA,"188723",90
"31","Álava","1971",26198,4848,33619.0099009901,NA,"199776",81
"32","Álava","1973",28311,5128,41664.0809443508,NA,"211227",72
"33","Álava","1975",31395,5220,46770.1120797011,NA,"223028",63
"34","Álava","1977",33718,5132,50566.3685152057,NA,"234980",61
"35","Álava","1979",35722,5336,NA,NA,"246439",58
"36","Álava","1981",37599,5430,NA,47028.703276419,"257105",56
"37","Álava","1983",42365,5697,NA,47798.9350372737,"262346",53
"38","Álava","1985",46936,6023,NA,49773.5805330243,"266265",52
"39","Álava","1987",48976,6235,NA,55021.1552888222,"269125",45
"40","Álava","1989",52025,6732,NA,61284.4994375703,"271300",43
"41","Álava","1991",55588,7003,NA,65806.6772026867,"272499",45
"42","Álava","1993",58472,7113,NA,64071.5583259127,"275212",38
"43","Álava","1995",110405,NA,NA,68213.9444173574,"277795",NA
"44","Álava","1997",115689,NA,NA,72188.6861313869,"280128",NA
"45","Albacete","1955",27901,5162,NA,NA,NA,108
"46","Albacete","1957",28615,5515,NA,NA,NA,111
"47","Albacete","1959",29840,5999,NA,NA,NA,106
"48","Albacete","1961",31193,6497,NA,NA,NA,104
"49","Albacete","1963",32652,6906,NA,NA,NA,102
"50","Albacete","1965",33120,6988,NA,NA,NA,101
"51","Albacete","1967",34456,7000,NA,NA,NA,93
"52","Albacete","1969",35853,7150,22279.6460176991,NA,"346820",82
"53","Albacete","1971",37561,7374,25302.1782178218,NA,"340709",72
"54","Albacete","1973",39793,7362,29294.7723440135,NA,"341184",63
"55","Albacete","1975",42384,7166,30993.0261519303,NA,"341203",47
"56","Albacete","1977",43995,6971,34176.3864042934,NA,"341188",42
"57","Albacete","1979",45981,6949,NA,NA,"340671",38
"58","Albacete","1981",46438,6724,NA,31440.6091370558,"339618",32
"59","Albacete","1983",47143,6905,NA,31674.9733759318,"341423",26
"60","Albacete","1985",47951,6742,NA,33116.8018539977,"342579",28
"61","Albacete","1987",49953,6920,NA,36162.0405101275,"342762",25
"62","Albacete","1989",52527,7230,NA,41620.6974128234,"342863",23
"63","Albacete","1991",55680,7509,NA,44455.8277360727,"342820",29
"64","Albacete","1993",57175,7676,NA,44285.2359750668,"347060",31
"65","Albacete","1995",103702,NA,NA,48709.5075572891,"351295",NA
"66","Albacete","1997",108463,NA,NA,51105.9306569343,"355497",NA
"67","Alicante","1955",71512,16878,NA,NA,NA,185
"68","Alicante","1957",74539,18018,NA,NA,NA,203
"69","Alicante","1959",79885,19490,NA,NA,NA,234
"70","Alicante","1961",85382,20393,NA,NA,NA,261
"71","Alicante","1963",92223,24545,NA,NA,NA,282
"72","Alicante","1965",95776,23602,NA,NA,NA,348
"73","Alicante","1967",104350,25374,NA,NA,NA,306
"74","Alicante","1969",117266,30277,86575.2212389381,NA,"891046",270
"75","Alicante","1971",124426,31297,100040.792079208,NA,"921985",366
"76","Alicante","1973",134012,33474,124940.640809444,NA,"965894",374
"77","Alicante","1975",144912,35342,136953.922789539,NA,"1011877",382
"78","Alicante","1977",154180,36845,151965.295169946,NA,"1057381",385
"79","Alicante","1979",161210,38218,NA,NA,"1102417",390
"80","Alicante","1981",174520,41731,NA,155414.120904476,"1145486",393
"81","Alicante","1983",186451,44390,NA,162183.599574015,"1180079",398
"82","Alicante","1985",193792,46909,NA,166682.329084589,"1210244",432
"83","Alicante","1987",209505,49289,NA,188091.822955739,"1238514",451
"84","Alicante","1989",221836,49882,NA,215116.265466817,"1265689",462
"85","Alicante","1991",232904,50429,NA,228448.873962861,"1290865",515
"86","Alicante","1993",233975,50293,NA,223089.082813891,"1323214",458
"87","Alicante","1995",427052,NA,NA,240058.410531448,"1354317",NA
"88","Alicante","1997",447191,NA,NA,253077.098540146,"1384693",NA
"89","Almería","1955",25249,3695,NA,NA,NA,15
"90","Almería","1957",26571,4098,NA,NA,NA,18
"91","Almería","1959",27871,4494,NA,NA,NA,20
"92","Almería","1961",29257,4900,NA,NA,NA,22
"93","Almería","1963",31572,5336,NA,NA,NA,24
"94","Almería","1965",33580,6019,NA,NA,NA,26
"95","Almería","1967",35905,6611,NA,NA,NA,28
"96","Almería","1969",38379,7693,22170.796460177,NA,"377641",23
"97","Almería","1971",40335,8375,26837.2277227723,NA,"377637",48
"98","Almería","1973",42223,8731,34533.8954468803,NA,"384280",56
"99","Almería","1975",44305,8779,38334.9937733499,NA,"390688",62
"100","Almería","1977",47280,8973,45854.9194991055,NA,"397307",68
"101","Almería","1979",49625,9117,NA,NA,"403841",73
"102","Almería","1981",51672,9517,NA,40915.7360406091,"410149",78
"103","Almería","1983",54167,10096,NA,41993.3972310969,"420329",83
"104","Almería","1985",59598,10383,NA,43122.8273464658,"430119",81
"105","Almería","1987",65411,11251,NA,49938.6346586647,"438682",78
"106","Almería","1989",68772,12277,NA,56735.7030371204,"447058",76
"107","Almería","1991",73080,12716,NA,61730.4227578032,"454951",73
"108","Almería","1993",75380,12665,NA,60450.6144256456,"470038",64
"109","Almería","1995",150297,NA,NA,77151.6333495856,"485082",NA
"110","Almería","1997",161701,NA,NA,81953.7408759124,"499714",NA
"111","Asturias (Ppdo. de)","1955",89057,18955,NA,NA,NA,287
"112","Asturias (Ppdo. de)","1957",93743,20834,NA,NA,NA,304
"113","Asturias (Ppdo. de)","1959",99627,23140,NA,NA,NA,314
"114","Asturias (Ppdo. de)","1961",105841,25222,NA,NA,NA,321
"115","Asturias (Ppdo. de)","1963",111827,27207,NA,NA,NA,338
"116","Asturias (Ppdo. de)","1965",116034,27314,NA,NA,NA,349
"117","Asturias (Ppdo. de)","1967",122148,27390,NA,NA,NA,356
"118","Asturias (Ppdo. de)","1969",125089,26652,106688.495575221,NA,"1046675",272
"119","Asturias (Ppdo. de)","1971",130303,27682,116477.227722772,NA,"1052039",243
"120","Asturias (Ppdo. de)","1973",135494,26775,138907.588532884,NA,"1069075",216
"121","Asturias (Ppdo. de)","1975",141058,26574,150528.268991283,NA,"1085361",205
"122","Asturias (Ppdo. de)","1977",147374,26331,154593.381037567,NA,"1102125",196
"123","Asturias (Ppdo. de)","1979",152678,25912,NA,NA,"1116858",190
"124","Asturias (Ppdo. de)","1981",156628,25219,NA,145193.908629442,"1128756",185
"125","Asturias (Ppdo. de)","1983",161929,25779,NA,142827.263045793,"1129917",178
"126","Asturias (Ppdo. de)","1985",166756,26227,NA,145790.44032445,"1126355",169
"127","Asturias (Ppdo. de)","1987",178034,27317,NA,159271.867966992,"1119511",148
"128","Asturias (Ppdo. de)","1989",183154,28162,NA,170892.688413948,"1109331",140
"129","Asturias (Ppdo. de)","1991",187247,29223,NA,173657.684709601,"1095557",133
"130","Asturias (Ppdo. de)","1993",191067,29274,NA,168096.384683882,"1091116",108
"131","Asturias (Ppdo. de)","1995",345412,NA,NA,172508.337396392,"1086001",NA
"132","Asturias (Ppdo. de)","1997",352879,NA,NA,176963.047445255,"1079198",NA
"133","Ávila","1955",18556,3373,NA,NA,NA,10
"134","Ávila","1957",19246,3576,NA,NA,NA,11
"135","Ávila","1959",19690,3818,NA,NA,NA,12
"136","Ávila","1961",20512,4099,NA,NA,NA,12
"137","Ávila","1963",21506,4107,NA,NA,NA,11
"138","Ávila","1965",22065,4125,NA,NA,NA,10
"139","Ávila","1967",22646,4304,NA,NA,NA,9
"140","Ávila","1969",23357,4480,13184.0707964602,NA,"218001",9
"141","Ávila","1971",24026,4737,13917.6237623762,NA,"211556",9
"142","Ávila","1973",24511,5035,16188.8701517707,NA,"205980",9
"143","Ávila","1975",25150,5181,17395.5168119552,NA,"200348",10
"144","Ávila","1977",25594,5144,18046.1538461538,NA,"194591",10
"145","Ávila","1979",25695,4819,NA,NA,"189079",10
"146","Ávila","1981",25742,4449,NA,17206.4605445316,"184062",11
"147","Ávila","1983",26229,4354,NA,17678.1682641108,"182687",11
"148","Ávila","1985",27758,4276,NA,18703.2444959444,"181293",10
"149","Ávila","1987",28669,4368,NA,20478.7696924231,"179546",10
"150","Ávila","1989",30233,4607,NA,23087.3790776153,"177331",10
"151","Ávila","1991",31361,4868,NA,24617.5424733307,"174732",10
"152","Ávila","1993",32797,4941,NA,24608.8691006233,"172921",8
"153","Ávila","1995",55312,NA,NA,25479.6684544125,"171183",NA
"154","Ávila","1997",57891,NA,NA,26576.4598540146,"169195",NA
"155","Badajoz","1955",54672,8854,NA,NA,NA,107
"156","Badajoz","1957",57200,9384,NA,NA,NA,110
"157","Badajoz","1959",59146,9991,NA,NA,NA,114
"158","Badajoz","1961",61617,10523,NA,NA,NA,118
"159","Badajoz","1963",63486,10433,NA,NA,NA,122
"160","Badajoz","1965",65554,10447,NA,NA,NA,153
"161","Badajoz","1967",68187,10246,NA,NA,NA,212
"162","Badajoz","1969",70238,10515,38960.1769911504,NA,"724508",239
"163","Badajoz","1971",73238,10803,43268.9108910891,NA,"701675",40
"164","Badajoz","1973",75540,11520,51741.652613828,NA,"692036",40
"165","Badajoz","1975",75886,11526,51630.6351183064,NA,"680857",40
"166","Badajoz","1977",79049,11429,53917.3524150268,NA,"668997",40
"167","Badajoz","1979",80171,11023,NA,NA,"656437",41
"168","Badajoz","1981",83063,10767,NA,50928.0110752192,"644694",41
"169","Badajoz","1983",86136,10758,NA,51293.077742279,"647475",41
"170","Badajoz","1985",90158,10929,NA,52638.7022016222,"649719",40
"171","Badajoz","1987",96031,10965,NA,59490.4726181545,"650867",38
"172","Badajoz","1989",99930,11540,NA,67920.2699662542,"651574",36
"173","Badajoz","1991",105222,12076,NA,74450.256815488,"650773",33
"174","Badajoz","1993",105998,12591,NA,75303.4728406055,"653084",29
"175","Badajoz","1995",175969,NA,NA,76607.0209653827,"654699",NA
"176","Badajoz","1997",191100,NA,NA,80953.9233576642,"655174",NA
"177","Baleares (Islas)","1955",67212,17005,NA,NA,NA,60
"178","Baleares (Islas)","1957",70290,18778,NA,NA,NA,63
"179","Baleares (Islas)","1959",77037,23605,NA,NA,NA,65
"180","Baleares (Islas)","1961",85216,28537,NA,NA,NA,68
"181","Baleares (Islas)","1963",91614,32845,NA,NA,NA,69
"182","Baleares (Islas)","1965",102020,38143,NA,NA,NA,78
"183","Baleares (Islas)","1967",112977,47465,NA,NA,NA,70
"184","Baleares (Islas)","1969",134180,65376,71394.6902654867,NA,"519857",65
"185","Baleares (Islas)","1971",142835,68226,84513.2673267327,NA,"532942",279
"186","Baleares (Islas)","1973",151405,71039,102578.752107926,NA,"558493",326
"187","Baleares (Islas)","1975",158037,73290,109229.140722291,NA,"584351",428
"188","Baleares (Islas)","1977",163475,74743,119661.359570662,NA,"608638",510
"189","Baleares (Islas)","1979",173988,77073,NA,NA,"631517",545
"190","Baleares (Islas)","1981",184284,82155,NA,122889.524688509,"653994",608
"191","Baleares (Islas)","1983",197766,87889,NA,130168.477103301,"668607",629
"192","Baleares (Islas)","1985",217407,100100,NA,141795.017381228,"679982",639
"193","Baleares (Islas)","1987",233005,108681,NA,164125.881470368,"690608",589
"194","Baleares (Islas)","1989",243471,110764,NA,185778.492688414,"700883",568
"195","Baleares (Islas)","1991",254016,113790,NA,199992.374555512,"708917",553
"196","Baleares (Islas)","1993",257400,115321,NA,201857.845057881,"732316",396
"197","Baleares (Islas)","1995",340078,NA,NA,211843.49098001,"756141",NA
"198","Baleares (Islas)","1997",354885,NA,NA,226544.890510949,"780019",NA
"199","Barcelona","1955",448547,91680,NA,NA,NA,9158
"200","Barcelona","1957",466013,95793,NA,NA,NA,9760
"201","Barcelona","1959",492483,101860,NA,NA,NA,10236
"202","Barcelona","1961",522411,108359,NA,NA,NA,10701
"203","Barcelona","1963",548872,111994,NA,NA,NA,11018
"204","Barcelona","1965",580793,116830,NA,NA,NA,11684
"205","Barcelona","1967",614745,122367,NA,NA,NA,9043
"206","Barcelona","1969",644740,128414,522671.681415929,NA,"3743030",8189
"207","Barcelona","1971",667247,130866,601223.762376238,NA,"3914943",7298
"208","Barcelona","1973",698065,133912,719414.165261383,NA,"4061858",6574
"209","Barcelona","1975",726288,132688,773262.515566625,NA,"4215017",5642
"210","Barcelona","1977",755866,131045,828293.559928444,NA,"4362865",5058
"211","Barcelona","1979",790886,128611,NA,NA,"4498516",4693
"212","Barcelona","1981",798461,122029,NA,771387.909552376,"4612172",3328
"213","Barcelona","1983",836844,122453,NA,769189.563365282,"4647065",2960
"214","Barcelona","1985",864215,125569,NA,781571.784472769,"4660900",2868
"215","Barcelona","1987",902802,130089,NA,878041.110277569,"4671597",2692
"216","Barcelona","1989",946195,139481,NA,989134.623172103,"4670250",2517
"217","Barcelona","1991",981894,146912,NA,1054866.13986567,"4657121",2413
"218","Barcelona","1993",988602,145682,NA,1017397.93410508,"4682089",2083
"219","Barcelona","1995",1674020,NA,NA,1081465.43149683,"4708424",NA
"220","Barcelona","1997",1755028,NA,NA,1134563.50364964,"4732285",NA
"221","Burgos","1955",37717,6496,NA,NA,NA,408
"222","Burgos","1957",39481,7117,NA,NA,NA,413
"223","Burgos","1959",40874,7973,NA,NA,NA,426
"224","Burgos","1961",42534,8699,NA,NA,NA,441
"225","Burgos","1963",44331,8952,NA,NA,NA,438
"226","Burgos","1965",45490,9331,NA,NA,NA,416
"227","Burgos","1967",46754,9683,NA,NA,NA,369
"228","Burgos","1969",49200,10017,34473.4513274336,NA,"366303",325
"229","Burgos","1971",50699,10457,37392.4752475248,NA,"361180",220
"230","Burgos","1973",53093,10937,43770.6576728499,NA,"361496",178
"231","Burgos","1975",54670,11116,47012.9514321295,NA,"362198",159
"232","Burgos","1977",55601,10732,51176.0286225403,NA,"363460",126
"233","Burgos","1979",54964,9376,NA,NA,"363947",98
"234","Burgos","1981",55136,8692,NA,45353.8532533456,"363595",72
"235","Burgos","1983",56379,8989,NA,46968.4771033014,"363691",49
"236","Burgos","1985",57871,9327,NA,48631.8076477404,"362312",47
"237","Burgos","1987",61531,9962,NA,54919.5798949737,"359958",44
"238","Burgos","1989",64708,10726,NA,60775.0731158605,"357019",43
"239","Burgos","1991",67651,11279,NA,63948.004741209,"353243",38
"240","Burgos","1993",67904,11421,NA,64199.2520035619,"352605",29
"241","Burgos","1995",127909,NA,NA,66253.5348610434,"352065",NA
"242","Burgos","1997",132859,NA,NA,69314.3248175182,"350988",NA
"243","Cáceres","1955",36428,6486,NA,NA,NA,62
"244","Cáceres","1957",37996,6800,NA,NA,NA,66
"245","Cáceres","1959",39670,7400,NA,NA,NA,64
"246","Cáceres","1961",41417,7884,NA,NA,NA,61
"247","Cáceres","1963",43916,8216,NA,NA,NA,59
"248","Cáceres","1965",45132,8292,NA,NA,NA,58
"249","Cáceres","1967",46697,8235,NA,NA,NA,53
"250","Cáceres","1969",47860,8357,26701.3274336283,NA,"481661",45
"251","Cáceres","1971",49202,8787,29262.1782178218,NA,"467680",39
"252","Cáceres","1973",50247,9051,34702.8667790894,NA,"459701",35
"253","Cáceres","1975",50660,8845,35679.4520547945,NA,"450559",33
"254","Cáceres","1977",52033,8867,38276.0286225403,NA,"440699",31
"255","Cáceres","1979",52722,8626,NA,NA,"431130",28
"256","Cáceres","1981",54220,8296,NA,36960.7752653438,"422298",26
"257","Cáceres","1983",55301,8377,NA,37248.5623003195,"421510",23
"258","Cáceres","1985",57356,8438,NA,38611.5295480881,"420076",21
"259","Cáceres","1987",59248,8753,NA,48269.9174793698,"418052",20
"260","Cáceres","1989",61418,9135,NA,55190.146231721,"415638",20
"261","Cáceres","1991",64138,9550,NA,57928.8028447254,"411968",20
"262","Cáceres","1993",65282,9848,NA,58880.249332146,"411301",17
"263","Cáceres","1995",119676,NA,NA,59923.939541687,"410377",NA
"264","Cáceres","1997",125956,NA,NA,62759.2153284672,"408709",NA
"265","Cádiz","1955",72772,16650,NA,NA,NA,83
"266","Cádiz","1957",75487,17660,NA,NA,NA,80
"267","Cádiz","1959",81635,19394,NA,NA,NA,76
"268","Cádiz","1961",86968,20389,NA,NA,NA,72
"269","Cádiz","1963",91209,21173,NA,NA,NA,66
"270","Cádiz","1965",98282,22336,NA,NA,NA,71
"271","Cádiz","1967",103993,22877,NA,NA,NA,83
"272","Cádiz","1969",109115,23169,66530.9734513274,NA,"871248",95
"273","Cádiz","1971",114838,23507,77289.5049504951,NA,"878474",108
"274","Cádiz","1973",118877,24043,90845.86846543,NA,"902424",113
"275","Cádiz","1975",127221,24316,97140.2241594022,NA,"924940",121
"276","Cádiz","1977",132315,23781,108977.280858676,NA,"947425",126
"277","Cádiz","1979",136206,22662,NA,NA,"968454",130
"278","Cádiz","1981",138867,21874,NA,102148.40793724,"986913",133
"279","Cádiz","1983",144071,21179,NA,102842.172523962,"1011300",135
"280","Cádiz","1985",149420,21715,NA,104039.165701043,"1032866",133
"281","Cádiz","1987",157961,22932,NA,115522.280570143,"1050662",114
"282","Cádiz","1989",163191,24119,NA,128890.933633296,"1065779",107
"283","Cádiz","1991",168401,24922,NA,134903.753457132,"1077946",102
"284","Cádiz","1993",170161,24714,NA,136757.68477293,"1088511",93
"285","Cádiz","1995",279503,NA,NA,134854.705021941,"1097121",NA
"286","Cádiz","1997",299559,NA,NA,142461.496350365,"1102546",NA
"287","Cantabria","1955",49860,11666,NA,NA,NA,212
"288","Cantabria","1957",52413,12414,NA,NA,NA,221
"289","Cantabria","1959",54508,13008,NA,NA,NA,234
"290","Cantabria","1961",56910,13293,NA,NA,NA,256
"291","Cantabria","1963",58408,13520,NA,NA,NA,271
"292","Cantabria","1965",59766,14005,NA,NA,NA,264
"293","Cantabria","1967",61632,14733,NA,NA,NA,234
"294","Cantabria","1969",63312,15100,50822.1238938053,NA,"464871",204
"295","Cantabria","1971",65170,15432,56976.2376237624,NA,"469079",183
"296","Cantabria","1973",65390,15704,64979.089376054,NA,"477491",129
"297","Cantabria","1975",68391,15765,68996.2640099626,NA,"486312",96
"298","Cantabria","1977",72254,15655,74351.6994633274,NA,"495852",72
"299","Cantabria","1979",76262,15329,NA,NA,"505322",59
"300","Cantabria","1981",77996,14857,NA,71102.3534840794,"512608",51
"301","Cantabria","1983",80432,15004,NA,69963.3652822151,"519335",46
"302","Cantabria","1985",84499,15433,NA,71149.0150637312,"523572",44
"303","Cantabria","1987",89821,16237,NA,78119.1297824456,"526081",52
"304","Cantabria","1989",94089,16294,NA,86844.6344206974,"527667",67
"305","Cantabria","1991",96187,16666,NA,89472.4219676017,"527567",85
"306","Cantabria","1993",96554,16310,NA,87583.8646482636,"529686",91
"307","Cantabria","1995",167559,NA,NA,90545.2949780595,"531185",NA
"308","Cantabria","1997",175932,NA,NA,94103.5583941606,"531994",NA
"309","Castellón","1955",32571,5320,NA,NA,NA,55
"310","Castellón","1957",34708,6249,NA,NA,NA,57
"311","Castellón","1959",37122,6719,NA,NA,NA,59
"312","Castellón","1961",39539,7245,NA,NA,NA,60
"313","Castellón","1963",42083,7569,NA,NA,NA,61
"314","Castellón","1965",44126,8347,NA,NA,NA,65
"315","Castellón","1967",46879,8654,NA,NA,NA,54
"316","Castellón","1969",49091,8845,36821.6814159292,NA,"380846",50
"317","Castellón","1971",52287,9659,42765.1485148515,NA,"386464",54
"318","Castellón","1973",54149,10040,52436.7622259697,NA,"394395",60
"319","Castellón","1975",55850,9857,57328.0199252802,NA,"403308",64
"320","Castellón","1977",58411,10174,62990.3398926655,NA,"412740",68
"321","Castellón","1979",61782,10724,NA,NA,"422296",72
"322","Castellón","1981",64504,10811,NA,59223.627134287,"431425",76
"323","Castellón","1983",67963,11313,NA,59954.4195953142,"436835",78
"324","Castellón","1985",72603,11898,NA,61734.6465816918,"440427",79
"325","Castellón","1987",78493,12994,NA,69794.1485371343,"442964",90
"326","Castellón","1989",79565,12954,NA,82210.7986501687,"445213",92
"327","Castellón","1991",81725,12986,NA,86408.1785855393,"446767",98
"328","Castellón","1993",81915,12732,NA,85731.1843276937,"453154",93
"329","Castellón","1995",175326,NA,NA,99960.7020965383,"459972",NA
"330","Castellón","1997",185170,NA,NA,105234.489051095,"466654",NA
"331","Ceuta","1971",NA,NA,NA,NA,"62607",NA
"332","Ceuta","1973",NA,NA,NA,NA,"63192",NA
"333","Ceuta","1975",NA,NA,NA,NA,"63496",NA
"334","Ceuta","1977",NA,NA,NA,NA,"64068",NA
"335","Ceuta","1979",NA,NA,NA,NA,"64606",NA
"336","Ceuta","1981",NA,NA,NA,NA,"65173",NA
"337","Ceuta","1983",NA,NA,NA,NA,"65730",NA
"338","Ceuta","1985",NA,NA,NA,NA,"66196",NA
"339","Ceuta","1987",NA,NA,NA,NA,"66657",NA
"340","Ceuta","1989",NA,NA,NA,NA,"67254",NA
"341","Ceuta","1991",NA,NA,NA,NA,"67610",NA
"342","Ceuta","1993",NA,NA,NA,NA,"68449",NA
"343","Ceuta","1995",NA,NA,NA,NA,"69318",NA
"344","Ceuta","1997",NA,NA,NA,NA,"69990",NA
"345","Ciudad Real","1955",40344,7659,NA,NA,NA,71
"346","Ciudad Real","1957",42455,8590,NA,NA,NA,76
"347","Ciudad Real","1959",44650,9457,NA,NA,NA,79
"348","Ciudad Real","1961",46726,10012,NA,NA,NA,80
"349","Ciudad Real","1963",48449,10178,NA,NA,NA,78
"350","Ciudad Real","1965",50064,10187,NA,NA,NA,75
"351","Ciudad Real","1967",51644,10215,NA,NA,NA,70
"352","Ciudad Real","1969",53627,10679,36203.0973451327,NA,"525362",65
"353","Ciudad Real","1971",54608,10957,38455.8415841584,NA,"512799",62
"354","Ciudad Real","1973",56892,11929,48328.8364249578,NA,"506452",54
"355","Ciudad Real","1975",58498,11903,50806.4757160648,NA,"499303",52
"356","Ciudad Real","1977",60292,11188,53042.0393559928,NA,"492107",49
"357","Ciudad Real","1979",60316,10362,NA,NA,"484003",46
"358","Ciudad Real","1981",60076,9021,NA,46721.089063221,"476049",44
"359","Ciudad Real","1983",61379,8898,NA,47136.7412140575,"476889",43
"360","Ciudad Real","1985",62823,9008,NA,47884.2410196987,"477587",41
"361","Ciudad Real","1987",65848,9084,NA,53850.5626406602,"477557",39
"362","Ciudad Real","1989",68169,9550,NA,60809.4938132733,"477088",37
"363","Ciudad Real","1991",70509,9905,NA,66317.8980640063,"475825",36
"364","Ciudad Real","1993",70853,9634,NA,66736.1353517364,"477519",28
"365","Ciudad Real","1995",135323,NA,NA,69815.2120916626,"478996",NA
"366","Ciudad Real","1997",144008,NA,NA,73070.3467153285,"479496",NA
"367","Córdoba","1955",61509,10820,NA,NA,NA,164
"368","Córdoba","1957",63355,11670,NA,NA,NA,172
"369","Córdoba","1959",66242,12544,NA,NA,NA,176
"370","Córdoba","1961",69454,13390,NA,NA,NA,189
"371","Córdoba","1963",71767,13456,NA,NA,NA,196
"372","Córdoba","1965",74853,13356,NA,NA,NA,203
"373","Córdoba","1967",77170,13485,NA,NA,NA,180
"374","Córdoba","1969",78593,13608,48983.6283185841,NA,"744164",163
"375","Córdoba","1971",80861,14283,55329.5049504951,NA,"731311",144
"376","Córdoba","1973",83749,14943,63701.1804384486,NA,"730960",126
"377","Córdoba","1975",83046,14201,65272.9763387298,NA,"729046",103
"378","Córdoba","1977",86475,14014,71153.6672629696,NA,"727053",89
"379","Córdoba","1979",87746,13758,NA,NA,"724955",81
"380","Córdoba","1981",88669,13256,NA,66023.8117212736,"721446",77
"381","Córdoba","1983",90741,13037,NA,65375.9318423855,"729842",70
"382","Córdoba","1985",95954,12861,NA,69188.5863267671,"737794",68
"383","Córdoba","1987",103038,13101,NA,74803.7509377344,"743984",59
"384","Córdoba","1989",108007,13848,NA,84380.6524184477,"749537",58
"385","Córdoba","1991",111816,14388,NA,92885.6183326748,"754226",54
"386","Córdoba","1993",113041,13961,NA,92555.4764024933,"758559",39
"387","Córdoba","1995",200928,NA,NA,94768.5031691858,"761142",NA
"388","Córdoba","1997",214121,NA,NA,100586.770072993,"761586",NA
"389","Cuenca","1955",19454,2769,NA,NA,NA,83
"390","Cuenca","1957",20430,3237,NA,NA,NA,91
"391","Cuenca","1959",21378,3577,NA,NA,NA,96
"392","Cuenca","1961",22175,3675,NA,NA,NA,101
"393","Cuenca","1963",23150,3834,NA,NA,NA,99
"394","Cuenca","1965",23315,3795,NA,NA,NA,96
"395","Cuenca","1967",23459,3817,NA,NA,NA,84
"396","Cuenca","1969",24542,3879,16353.982300885,NA,"262755",72
"397","Cuenca","1971",25387,4097,17756.4356435644,NA,"251573",65
"398","Cuenca","1973",26281,4136,22850.5902192243,NA,"244944",57
"399","Cuenca","1975",26626,4240,24020.9215442092,NA,"238122",43
"400","Cuenca","1977",26640,4217,24830.2325581395,NA,"231196",38
"401","Cuenca","1979",26743,3989,NA,NA,"223924",29
"402","Cuenca","1981",26467,3889,NA,19522.0119981541,"216720",21
"403","Cuenca","1983",26650,3922,NA,19579.7657082002,"214609",14
"404","Cuenca","1985",27008,3999,NA,20078.2734646582,"212519",14
"405","Cuenca","1987",28320,4074,NA,21709.0772693173,"210060",13
"406","Cuenca","1989",29394,4275,NA,24856.062992126,"207795",13
"407","Cuenca","1991",31296,4565,NA,26407.2303437377,"205482",23
"408","Cuenca","1993",31271,4494,NA,26537.2039180766,"204878",12
"409","Cuenca","1995",62952,NA,NA,27936.9088249634,"203960",NA
"410","Cuenca","1997",64644,NA,NA,29687.8649635036,"202868",NA
"411","Girona","1955",51439,15758,NA,NA,NA,40
"412","Girona","1957",55831,18095,NA,NA,NA,41
"413","Girona","1959",59176,19429,NA,NA,NA,43
"414","Girona","1961",64154,22188,NA,NA,NA,46
"415","Girona","1963",66712,23127,NA,NA,NA,48
"416","Girona","1965",70399,25010,NA,NA,NA,56
"417","Girona","1967",72593,25546,NA,NA,NA,67
"418","Girona","1969",76909,26023,53207.5221238938,NA,"403951",75
"419","Girona","1971",81066,27137,60228.1188118812,NA,"412341",80
"420","Girona","1973",83964,28560,71522.4283305228,NA,"422887",86
"421","Girona","1975",87282,28893,78267.496886675,NA,"433814",121
"422","Girona","1977",89262,28882,86185.8676207513,NA,"445239",148
